date,region,disease,cases,temperature,humidity,rainfall,year,month
2020-01-01,Delhi,Dengue,74,11.6,47.1,5.6,2020,1
2020-01-02,Delhi,Dengue,68,17.4,50.7,0.3,2020,1
2020-01-03,Delhi,Dengue,73,17.7,66.5,4.9,2020,1
2020-01-04,Delhi,Dengue,65,18.6,49.8,3.6,2020,1
2020-01-05,Delhi,Dengue,69,16.9,52.1,7.4,2020,1
2020-01-06,Delhi,Dengue,69,16.2,54.7,1.8,2020,1
2020-01-07,Delhi,Dengue,71,18.7,60.9,1.6,2020,1
2020-01-08,Delhi,Dengue,67,16.0,51.0,1.8,2020,1
2020-01-09,Delhi,Dengue,75,17.2,50.8,3.5,2020,1
2020-01-10,Delhi,Dengue,73,19.7,61.8,4.5,2020,1
2020-01-11,Delhi,Dengue,71,17.9,59.2,1.3,2020,1
2020-01-12,Delhi,Dengue,71,19.5,58.0,0.7,2020,1
2020-01-13,Delhi,Dengue,73,13.1,54.9,1.1,2020,1
2020-01-14,Delhi,Dengue,66,16.7,69.5,4.3,2020,1
2020-01-15,Delhi,Dengue,74,12.5,54.8,8.4,2020,1
2020-01-16,Delhi,Dengue,72,19.6,63.8,0.2,2020,1
2020-01-17,Delhi,Dengue,67,20.1,56.0,8.1,2020,1
2020-01-18,Delhi,Dengue,64,14.7,61.5,10.2,2020,1
2020-01-19,Delhi,Dengue,73,16.2,58.8,5.3,2020,1
2020-01-20,Delhi,Dengue,68,18.9,52.2,0.5,2020,1
2020-01-21,Delhi,Dengue,68,13.9,61.4,1.5,2020,1
2020-01-22,Delhi,Dengue,70,18.9,61.1,5.2,2020,1
2020-01-23,Delhi,Dengue,69,16.2,56.9,1.2,2020,1
2020-01-24,Delhi,Dengue,62,13.5,49.5,4.0,2020,1
2020-01-25,Delhi,Dengue,65,16.4,67.9,7.4,2020,1
2020-01-26,Delhi,Dengue,73,14.7,55.9,0.9,2020,1
2020-01-27,Delhi,Dengue,68,20.0,43.7,1.2,2020,1
2020-01-28,Delhi,Dengue,71,15.7,45.9,8.6,2020,1
2020-01-29,Delhi,Dengue,67,18.2,57.7,4.8,2020,1
2020-01-30,Delhi,Dengue,68,14.4,58.9,0.3,2020,1
2020-01-31,Delhi,Dengue,76,20.0,60.4,0.2,2020,1
2020-02-01,Delhi,Dengue,64,17.1,50.1,1.4,2020,2
2020-02-02,Delhi,Dengue,63,20.9,55.7,21.7,2020,2
2020-02-03,Delhi,Dengue,64,19.9,64.2,3.9,2020,2
2020-02-04,Delhi,Dengue,84,20.2,49.6,3.1,2020,2
2020-02-05,Delhi,Dengue,71,16.6,54.2,2.5,2020,2
2020-02-06,Delhi,Dengue,69,22.2,58.8,2.3,2020,2
2020-02-07,Delhi,Dengue,64,14.0,53.6,1.5,2020,2
2020-02-08,Delhi,Dengue,71,24.3,58.5,0.8,2020,2
2020-02-09,Delhi,Dengue,67,15.4,49.8,1.8,2020,2
2020-02-10,Delhi,Dengue,80,16.5,64.2,3.1,2020,2
2020-02-11,Delhi,Dengue,74,20.2,56.2,2.2,2020,2
2020-02-12,Delhi,Dengue,66,20.3,53.9,4.6,2020,2
2020-02-13,Delhi,Dengue,63,19.5,70.1,3.8,2020,2
2020-02-14,Delhi,Dengue,69,19.9,67.9,9.0,2020,2
2020-02-15,Delhi,Dengue,67,22.3,60.9,5.6,2020,2
2020-02-16,Delhi,Dengue,70,15.3,46.6,0.6,2020,2
2020-02-17,Delhi,Dengue,78,18.5,54.4,1.1,2020,2
2020-02-18,Delhi,Dengue,64,16.3,62.6,8.3,2020,2
2020-02-19,Delhi,Dengue,69,18.5,60.2,1.8,2020,2
2020-02-20,Delhi,Dengue,70,20.9,41.1,2.7,2020,2
2020-02-21,Delhi,Dengue,65,15.3,50.5,6.9,2020,2
2020-02-22,Delhi,Dengue,74,15.0,57.7,1.3,2020,2
2020-02-23,Delhi,Dengue,72,17.5,54.9,3.5,2020,2
2020-02-24,Delhi,Dengue,72,23.0,56.3,5.6,2020,2
2020-02-25,Delhi,Dengue,68,19.7,58.9,1.8,2020,2
2020-02-26,Delhi,Dengue,70,19.7,77.6,1.3,2020,2
2020-02-27,Delhi,Dengue,65,18.1,45.8,17.2,2020,2
2020-02-28,Delhi,Dengue,71,22.6,51.7,2.6,2020,2
2020-02-29,Delhi,Dengue,59,18.5,49.0,3.3,2020,2
2020-03-01,Delhi,Dengue,81,18.9,50.5,5.5,2020,3
2020-03-02,Delhi,Dengue,61,16.1,74.5,4.1,2020,3
2020-03-03,Delhi,Dengue,64,26.0,80.7,0.2,2020,3
2020-03-04,Delhi,Dengue,68,21.5,71.3,2.0,2020,3
2020-03-05,Delhi,Dengue,68,22.8,61.0,4.8,2020,3
2020-03-06,Delhi,Dengue,69,16.4,55.6,0.5,2020,3
2020-03-07,Delhi,Dengue,71,18.8,61.3,1.4,2020,3
2020-03-08,Delhi,Dengue,70,21.6,57.9,11.7,2020,3
2020-03-09,Delhi,Dengue,66,21.4,56.7,0.5,2020,3
2020-03-10,Delhi,Dengue,77,21.7,51.4,1.4,2020,3
2020-03-11,Delhi,Dengue,71,17.2,67.0,0.2,2020,3
2020-03-12,Delhi,Dengue,72,15.3,64.9,4.4,2020,3
2020-03-13,Delhi,Dengue,64,19.1,59.6,6.9,2020,3
2020-03-14,Delhi,Dengue,68,20.2,55.5,0.7,2020,3
2020-03-15,Delhi,Dengue,77,12.8,55.6,2.8,2020,3
2020-03-16,Delhi,Dengue,71,19.4,43.4,1.7,2020,3
2020-03-17,Delhi,Dengue,78,15.9,64.4,4.8,2020,3
2020-03-18,Delhi,Dengue,69,17.3,54.8,4.7,2020,3
2020-03-19,Delhi,Dengue,72,25.7,66.9,2.4,2020,3
2020-03-20,Delhi,Dengue,78,21.8,64.1,4.8,2020,3
2020-03-21,Delhi,Dengue,70,18.4,65.4,4.1,2020,3
2020-03-22,Delhi,Dengue,73,19.9,66.9,0.4,2020,3
2020-03-23,Delhi,Dengue,79,22.7,44.9,0.7,2020,3
2020-03-24,Delhi,Dengue,64,18.9,69.6,3.9,2020,3
2020-03-25,Delhi,Dengue,66,17.5,57.8,11.0,2020,3
2020-03-26,Delhi,Dengue,66,21.4,66.7,2.3,2020,3
2020-03-27,Delhi,Dengue,58,21.4,58.1,9.1,2020,3
2020-03-28,Delhi,Dengue,78,14.3,52.8,0.5,2020,3
2020-03-29,Delhi,Dengue,62,24.9,60.4,0.9,2020,3
2020-03-30,Delhi,Dengue,67,22.9,66.0,3.8,2020,3
2020-03-31,Delhi,Dengue,71,21.3,50.6,2.7,2020,3
2020-04-01,Delhi,Dengue,69,23.2,65.5,9.6,2020,4
2020-04-02,Delhi,Dengue,69,26.4,51.6,17.4,2020,4
2020-04-03,Delhi,Dengue,71,24.5,57.6,4.4,2020,4
2020-04-04,Delhi,Dengue,74,24.5,61.9,4.3,2020,4
2020-04-05,Delhi,Dengue,68,16.0,70.3,10.5,2020,4
2020-04-06,Delhi,Dengue,70,25.9,44.7,9.1,2020,4
2020-04-07,Delhi,Dengue,61,19.6,61.0,1.4,2020,4
2020-04-08,Delhi,Dengue,71,17.8,39.0,4.0,2020,4
2020-04-09,Delhi,Dengue,67,23.4,63.1,7.1,2020,4
